,Folder,Title,"Creator (suffix, fname, middle, surname)",Keyword,Rights,Abstract,Date Created,Subject,Resource Type,Restrictions,Embargo Dates,PDF Files,,,,,,,
30,\etdadmin_upload_586620,Defect-induced Behavior in Complex Oxides,"(None, 'Seyoung', None, 'Cook')","Oxide molecular beam epitaxy, Oxide surfaces, Oxygen vacancies, Perovskite oxides, Strontium titanate, Surface X-ray diffraction",In Copyright,"['Complex oxides show great potential for future devices as they offer functionalities beyond what can be delivered by conventional semiconductors. Among the complex oxides, the ABO$_{3}$ perovskite oxides are the most studied and engineered in the form of thin films and heterostructures. This thesis applies powerful synchrotron-based X-ray characterization tools, combined with theoretical methods, to study defect-induced behaviors in perovskite-type complex oxides. These investigations primarily focused on strontium titanate (SrTiO$_{3}$ or STO), with the goal of understanding and controlling several key defects in this material, as it plays a central role as a widely used substrate in the growth of complex oxide thin films and heterostructures for oxide-based devices.', 'First, oxygen vacancy defects were studied. A strategy for using vacuum annealing to engineer a two-dimensional electron gas (2DEG) on the STO~\\hkl(001) surface was explored. \\emph{In situ} soft X-ray spectroscopy characterization of the evolving electronic structure and spatial distribution of doped electrons across a gradient of oxygen vacancies on a TiO$_{2}$-terminated STO~\\hkl(001) single crystal revealed the formation of 2DEG near the surface. Quantitative band diagrams were developed to describe the gradual 2DEG formation along the lateral gradient of oxygen vacancies. The engineering of oxygen vacancy defects was extended to cobaltite thin films grown on \\hkl(001)-oriented STO substrates. Soft X-ray spectroscopy of short-period SrCoO$_{x}$:SrTiO$_{3}$ superlattices and a Sr(Co,Ti)O$_{x}$ alloy grown by oxide molecular beam epitaxy (MBE) showed that the strategic \\emph{placement} of the Co and Ti cations with highly different oxygen affinities could be used to engineer the oxygen coordination environments of the Co cations. This work demonstrated the use of interfaces to control the spatial arrangement of oxygen vacancies and also the electronic structure.', 'Next, STO~\\hkl(001) surfaces were studied using first principles density-functional calculations of TiO$_{2}$ double-layer (DL) STO~\\hkl(001) surface reconstructions. Several new TiO$_{2}$-DL STO~\\hkl(001) surface reconstructions with $(\\sqrt{5}\\times\\sqrt{5})R26.6\\degree$ (RT5) and $(\\sqrt{10}\\times\\sqrt{10})R18.4\\degree$ (RT10) periodicities were predicted on the basis of favorable surface energies within a convex hull construction mapped across different compositions. Furthermore, a modified convex hull that takes into account the surface dissolution energies emphasized the glass-like structure of real STO~\\hkl(001) surfaces, composed of multiple TiO$_{2}$-DL reconstructions with generally higher TiO$_{2}$ adlayer coverages that possess short-range order but no long-range order.', 'Finally, the role of the Ti-rich STO~\\hkl(001) surface on the initial stages of oxide MBE was studied using \\emph{in~situ} surface X-ray diffraction. \\hkl(001)-oriented STO substrates prepared using a standard etch-and-anneal method were found to have TiO$_{2}$-DL surface terminations under the growth conditions, modeled as mixtures of $(\\sqrt{13}\\times\\sqrt{13})R33.7\\degree$ (RT13) and $(\\sqrt{2}\\times\\sqrt{2})R45.0\\degree$ (RT2) reconstructions. Time-resolved SXRD measurements were performed during the growth of individual LaO and TiO$_{2}$ monolayers on the TiO$_{2}$-DL-terminated \\hkl(001) STO substrates using opposite deposition sequences (i.e., LaO-TiO$_{2}$ and TiO$_{2}$-LaO). Here, despite showing differences in the evolution of island sizes and distributions, final surface morphologies, and timescales across the different deposition sequences, the TiO$_{2}$ adlayer on each of the bare STO substrates was found to diffuse towards the surface, leading to TiO$_{2}$-DL surface terminations in the films.']",1/1/2018,Materials Science and Engineering,Dissertation,"code: 1, date: 12/22/2018",Private,\etdadmin_upload_586620\Cook_northwestern_0163D_14156.pdf,,,,,,,
31,\etdadmin_upload_586653,Visual Selection in Data Visualizations,"(None, 'Christine', None, 'Nothelfer')","information visualization, visual attention, visual perception",In Copyright,"['The availability and importance of data is accelerating, and our visual system is a critical tool for understanding it. The research field of data visualization seeks design guidelines – often inspired by perceptual psychology – for more efficient visual data analysis. Data visualization can borrow phenomena, tasks, and methods of quantifying performance from perceptual psychology to guide effective visualization techniques and design practices. Perceptual psychology, on the other hand, benefits from such work by gaining new insight into the human visual system through new research questions rooted in real world problems. In Section 1, we evaluated a common guideline: when presenting multiple sets of values to a viewer, those sets should be distinguished not just by a single feature, such as color, but redundantly by multiple features, such as color and shape. Despite the broad use of this practice across maps and graphs, it may carry costs, and there is no direct evidence for a benefit. We show that this practice can indeed yield a large benefit for segmenting objects within a dense display in terms of accuracy of selection (Experiments 1 and 2), visual grouping strength of display elements (Experiment 3), and speed of selection in both abstract (Experiment 4) and realistic (Experiment 5) displays. These results show that the visual system can successfully attend to two visual features at once. The visual system can select objects with such features with greater precision and speed than when selecting objects defined by only one visual feature, and all despite the additional visual complexity. In Section 2, we explored how different ways of encoding pairs of data values can lead to vast differences in the efficiency of visually processing the relations between those pairs. We show that perceiving relations between individually-depicted data values leads to a highly inefficient process (Experiments 1a, 1b, 3), which makes it challenging to discriminate both the proportion of opposing relations (Experiments 2 and 4) and the magnitude of relations (Experiment 5). Considering the ubiquity of bar charts and dot plots, relation perception for individual data values is highly inefficient. We show that relations are extracted from pairs of objects in a serial manner. Our results also demonstrate for the first time that it is possible to ensemble code magnitude differences across object pairs, despite how serial this process is when searching for a single relation, and that relation perception is more efficient within an object than between two separate objects. Together, these studies reveal the strengths (Section 1) and weaknesses (Section 2) of visual attention while holding implications for encoding guidelines for data visualization for a range of tasks.']",1/1/2018,Psychology,Dissertation,None,no embargo,\etdadmin_upload_586653\Nothelfer_northwestern_0163D_14157.pdf,,,,,,,
32,\etdadmin_upload_586673,Mechanisms of Convergent and Complementary Alignment in Conversation,"(None, 'Katharine', 'Anne Eliot', 'Lysander')","Alignment, Conversation, Coordination, Perspective-taking",In Copyright,"['This dissertation explores human coordination in rhythmic, verbal, and spatial activity, and how coordination in one of these modes may subsequently impact behavior in another mode. My research examines what effects non-conversational actions have on the alignment of spatial perspectives during conversation. I hope to clarify how data about non-linguistic alignment - specifically, its fluency and the co-presence of an aligning partner - may inform expectations about the anticipated difficulty of interactions. These experiments test a claim from Pickering and Garrod’s (2004) Interactive Alignment framework: “alignment at one level leads to alignment at another level.” The experiments I present explore whether non-conversational alignment (or misalignment) carries over to linguistic performance - specifically, the way in which we express spatial perspective to others. This was accomplished using a quantitative approach to naturalistic conversations between adult pairs about simple spatial stimuli. The content of these conversations differs based on a task participants performed before the conversation that induced particular patterns of interpersonal alignment. These tasks were different for each experiment: Task 1 manipulated the dynamic stability of partners’ physical coordination with each other, Task 2 manipulated partners’ feelings of social similarity, Task 3 manipulated the dynamic stability of partners’ coordination with an external rhythm, and Task 4 manipulated the difficulty of collaborative or solo achievement of a physical goal. The results of these studies show that, in the absence of collaborative activity, social similarity and rhythmic entrainment can lead to greater conversational effort, but physical alignment enhances conversational alignment best when both partners’ actions are oriented toward a mutual goal.']",1/1/2018,Psychology,Dissertation,None,no embargo,\etdadmin_upload_586673\Lysander_northwestern_0163D_14158.pdf,,,,,,,
33,\etdadmin_upload_586709,Discovery of Novel High-Pressure Binary Bismuth Intermetallic Compounds,"(None, 'Samantha', 'Marie', 'Clarke')","high pressure, intermetallic, properties, structure, synthesis",In Copyright,"['High-pressure and -temperature synthesis is a powerful tool for synthesizing new intermetallic compounds that cannot be formed using traditional solid-state syntheses. Such metastable compounds can exhibit unrivaled structural complexity, unique bonding, and unusual properties. In the simplest case, there are many binary systems in which no intermetallic compounds are known. These binary phase diagrams feature no thermodynamic intermetallic compounds due to wide miscibility gaps between the constituent elements that persist even at elevated temperatures. Consequently, there exists a dearth in knowledge on the chemical and physical properties of several exciting binary systems. In this dissertation, I report efforts to use high-pressure and high-temperature synthesis to access new metastable binary intermetallic compounds. I have focused on isolating new binary compounds composed of bismuth and a first-row transition metal due to the lack intermetallic compounds in many of these systems. Chapter 1 describes the importance of investigating specifically bismuth binary systems and outlines our synthetic results. Chapter 2 describes the traditional solid-state synthesis and magnetic characterization of two novel misfit layer compounds (BiSe)1.23CrSe2 and (BiSe)1.22(Cr1.2Se2)2. Chapters 3 and 4 are complementary in describing our thorough investigation of the high-pressure phase space of the Cu–Bi binary system. These chapters detail our discovery and physical properties characterization of the first intermetallic compounds in this system, superconducting Cu11Bi7 and CuBi. Chapter 5 describes the in situ discovery of a new high-pressure phase in the Ni–Bi system, \uf062-NiBi, and its reversible reconversion to the ambient pressure phase, \uf061-NiBi. Chapter 6 complements chapter 5 by establishing the importance of stoichiometry in determining the product of high-pressure synthesis and demonstrating how dimensionality in the Ni–Bi intermetallic system can be controlled by pressure. These results highlight the ability of high-pressure syntheses to allow for inroads into heretofore-undiscovered intermetallic systems for which no thermodynamically stable binaries are known.']",1/1/2018,Chemistry,Dissertation,"code: 1, date: 10/03/2019",Private,\etdadmin_upload_586709\Clarke_northwestern_0163D_14159.pdf,,,,,,,
34,\etdadmin_upload_586723,In This Country but Not of It: Immigration and Religion Among Colombian Evangelicals in the United States and Spain,"(None, 'Diego', 'Felipe', 'de los Rios')","Culture, Immigration, Religion",In Copyright,"['This dissertation examines how the experience of migration and the context of reception influences religious ideas and practices. Using the experience of two branches of a Colombian Evangelical church, one in Miami, Florida and one in Madrid, Spain, I explore the extent to which context of reception and the experiences of migrants shape their narratives, ideas about belonging, and evangelism strategies. Blending neo-institutionalism theory and lived religion, this comparative ethnography highlights how local, national, and transnational factors play a role in the religious practices of people. Throughout the dissertation, I highlight how adaptation is constrained by both internal and external factors that include, but are not limited to what previous literature on religious adaptation would suggest. While much of the literature comparing the role of religion in the lives of immigrants in the US and Europe has focused on examining whether or not religion is beneficial or damaging for migrants’ well being, I shift my focus to religious adaptation, and not on religious compatibility. Ultimately, I explore how blending lived religion and neo-institutionalism can tells not just about immigrant religion, but also about how people and organizations adapt to an increasingly globalized and transnational world.']",1/1/2018,Sociology,Dissertation,None,no embargo,\etdadmin_upload_586723\delosRios_northwestern_0163D_14160.pdf,,,,,,,
35,\etdadmin_upload_586733,Eliminating Backgrounds in the Search for Dark Matter with the PICO-60 Bubble Chamber,"(None, 'Daniel', None, 'Baxter')","bubble chamber, dark matter",In Copyright,"['Dark matter represents one of the most sought after discoveries in physics, and leading theories predict that extremely low-background detectors could be sensitive to nuclear recoils from dark matter interactions. The PICO collaboration uses bubble chambers to look for the energy deposition from such an interaction. However, unknown backgrounds have plagued the PICO detectors for many years. I work to uncover the source(s) of these mysterious backgrounds with the goal of eliminating them using, amongst other tools, various small-scale bubble chamber detectors and a xenon time projection chamber at Fermilab. Currently, all dark matter detection experiments treat electron recoils the same way, whether they come from neutrino or Compton scatters, beta-decay, or photoabsorption. My work indicates that this treatment is over-simplistic and results in a breakdown of existing calibration schemes. I have applied my knowledge of backgrounds to the PICO-60 detector as run coordinator. The resulting background-free month-long dark matter search represents the first background-free operation of a bubble chamber dark matter detector at the 40~liter scale, and is the most sensitive direct detection experiment to spin-dependent WIMP-proton dark matter interactions to date. Specifically, for 30~GeV~c$^{-2}$ dark matter, WIMP-proton spin-dependent cross sections larger than 3.4$\\times$10$^{-41}$~cm$^2$ are excluded at the 90$\\%$ confidence level.']",1/1/2018,Physics and Astronomy,Dissertation,None,no embargo,\etdadmin_upload_586733\Baxter_northwestern_0163D_14161.pdf,,,,,,,
36,\etdadmin_upload_586835,"The Geography, Determinants, and Effects of Innovation","(None, 'Enrico', None, 'Berkes')","Economic Geography, Economics of Innovation, Macroeconomics, Patents, Urban Economics",In Copyright,"['Endogenous growth theory has long recognized innovation as one of the key drivers of growth. Understanding what factors encourage or discourage innovative activities and how, in turn, these affect our communities is therefore crucial to inspire policies that promote inclusive growth. This dissertation tries to broaden our comprehension of the innovative process and its consequences. The first chapter shows that knowledge intensive activities cause an increase in income segregation within U.S. cities and proposes a framework that can be used to study how to mitigate this effect. In the second chapter, we explore how population density is related to the kind of innovation produced in a certain area. More densely populated places tend to promote the creation of unconventional ideas. Finally, the third chapter describes a newly developed data set of geographically referenced historical patents that will allow researchers to get a long run perspective and better understanding of the innovation process as a whole.']",1/1/2018,Economics,Dissertation,None,no embargo,\etdadmin_upload_586835\Berkes_northwestern_0163D_14162.pdf,,,,,,,
37,\etdadmin_upload_586880,Effect of Water on Thermoelasticity of Majoritic Garnet: Implications for the Seismic Structure at the Top of the Lower Mantle,"(None, 'John', 'Daniel', 'Lazarz')",Geophysics,In Copyright,"['High-pressure and high-temperature laboratory experiments on the physical properties of mantle minerals provide a window into the Earth’s interior chemistry and geodynamics. The measurement of material density, compressibility, and elasticity at high P-T conditions provides thermoelastic parameters necessary to model seismic velocities in the Earth’s mantle at regional and global scales. In the first study, I determined the influence of hydration on thermoelasticity of majoritic garnet, an important silicate phase in the mantle transition zone (MTZ, 410-660 km depth). The MTZ is thought to potentially contain a large geochemical reservoir of H2O, bound in the crystal structures of nominally anhydrous minerals as hydroxyl (OH-) defects. My results show little or no effect of hydration on seismic velocities in or below the MTZ, suggesting that low-velocity anomalies recently observed below the transition zone beneath North America by Schmandt et al. (2014) and others are caused by dehydration melting of garnet as it transitions to bridgmanite at ~780 km depth. In the second study I perform a high-pressure synchrotron X-ray diffraction study of clinoenstatite (Mg2Si2O6) up to 45 GPa to determine its structure and compressibility. From 9.5 to 35.5 GPa I observed the high-pressure clinoenstatite (HPCEN) phase and measured its P-V equation of state and structural evolution over an expanded pressure range relevant to pyroxene metatstability. At 45 GPa, I observed a phase transition to a new monoclinic form of Mg2Si2O6, called HPCEN2. Observation of HPCEN2 in Mg2Si2O6 is the third apex of the pyroxene quadrilateral to adopt this structure type at high-pressure, which has also been observed in Fe2Si2O6 (Pakhomova et al. 2017) and in MgCaSi2O6 (Plonka et al., 2012; Hu et al., 2016). In the third study I developed an optical microscope at Los Alamos National Laboratory to quantify the tensor of refractive indices (i.e. the indicatrix) in molecular crystals, and applied the new setup to determining the indicatrix and chromatic dispersion of acetaminophen (p-hydroxyacetanilide form I, commonly known as Tylenol®) as well as the orientation of the optical indicatrix in a monoclinic basis. Results indicate the optical indicatrix of acetaminophen form 1 is optically negative and biaxial. The results will ultimately be applied towards determining the full elastic tensor of acetaminophen from ongoing Brillouin spectroscopy experiments. Knowledge of the elastic tensor of molecular crystals such as acetaminophen will improve models of mixtures of pharmaceuticals with binders under compression, potentially reducing the amount of binder necessary to produce tablets (Anderson, 2008; Toms et al., 2008; Ong et al., 2010). Chapter 5 presents development of a 2-dimensional X-ray diffraction system in the Northwestern University High-Pressure Science Laboratory. Built onto an existing 4-circle Huber diffractometer, addition of the area detector system expands the capabilities of the instrument to include powder diffraction, rapid determination of crystal orientation matrices, and X-ray diffraction studies of minerals and materials at simultaneous high-pressure and temperature conditions.']",1/1/2018,Earth and Planetary Sciences,Dissertation,None,no embargo,\etdadmin_upload_586880\Lazarz_northwestern_0163D_14163.pdf,,,,,,,
38,\etdadmin_upload_586936,"Fluorides and Oxyfluorides: Synthesis, Structural Characteristics, and Properties","(None, 'Jacqueline', 'Renee', 'Cantwell')","crystallography, hydrogen bonding, noncentrosymmetry, oxyfluorides",In Copyright,"['Noncentrosymmetry (NCS) is a requirement for many properties such as piezoelectricity, pyroelectricity, and nonlinear optical activity like second harmonic generation which are desirable for a variety of commercial applications. One method which has been employed to successfully synthesize NCS compounds utilizes acentric anionic groups, such as oxyfluoride metal complexes, as basic building units (BBUs) for a NCS structure. However, the presence of acentric BBUs in a structure is not always enough to ensure overall asymmetry; NCS packing is also required to achieve the desired properties. ', '\tThe role of hydrogen bonding in the NCS packing of lambda-shaped dimers in CuVOF4(H2O)7 is explored. The difficulty of determining the hydrogen positions by x-ray diffraction has left many questions about the strengths and roles of hydrogen bonds in this structure. Previous work had emphasized the intra-dimer hydrogen bonding. A co-refinement of single crystal x-ray and neutron diffraction provided accurate hydrogen atom positions and hydrogen bonding distances, leading to a better understanding of how the hydrogen bonding interactions affect the structure. ', '\tCuMnF5(H2O)7 is a centrosymmetric structure composed of two different BBUs. A structural solution for this compound is presented for the first time. While it has similar BBUs to the centrosymmetric heterotypes of CuVOF4(H2O)7, the BBUs follow a different arrangement. The ionic octahedra are connected by a network of hydrogen bonding, but it is not enough to create NCS packing. CuMnF5(H2O)7 exhibits strong pleochroism, changing from red to green when the direction of polarized light is changed. This property is also exhibited by KNaMnF5, a novel compound whose structure and properties are described, which changes from orange to red. ', '\tThe NCS phase of KNaNbOF5 is examined in a series of single crystal x-ray diffraction studies over a range of temperatures. Though the structure as a whole has positive thermal expansion, that is not necessarily true of all its constituent parts. The K−ligand bond lengths increase with rising temperature, as expected, but the Nb−ligand bond lengths show a slight decrease. These results are not conclusive but indicate a promising direction for future studies in this area.']",1/1/2018,Chemistry,Dissertation,None,no embargo,\etdadmin_upload_586936\Cantwell_northwestern_0163D_14164.pdf,,,,,,,
39,\etdadmin_upload_586977,Variable Screening and Inference Problems for High Dimensional Data,"(None, 'Jingsi', None, 'Zhang')","bootstrap, confidence interval, high dimensional data, penalized least square estimator, variable screening",In Copyright,"['This dissertation focuses on variable screening for ultra-high dimensional data and inference for comparatively-high dimensional data. I explore two specific problems in this area, which are motivated by real data examples, and discuss the motivation for the proposed methodology, implementation details, theoretical properties, and performance on data of interest.', 'Chapter 1 introduces a new metric, the so-called martingale difference correlation, to measure the departure of conditional mean independence between a scalar response variable Y and a vector predictor variable X. Our metric is a natural extension of distance correlation proposed by Sze ́kely, Rizzo, and Bakirov (2007), which is used to measure the dependence between Y and X. The martingale difference correlation and its empirical counterpart inherit a number of desirable features of distance correlation and sample distance correlation, such as algebraic simplicity and elegant theoretical properties. We further use martingale difference correlation as a marginal utility to do high dimensional variable screening to screen out variables that do not contribute to the conditional mean of the response given the covariates. A further extension to conditional quantile screening is also described in detail and sure screening properties are rigorously justified. Both simulation results and real data illustrations demonstrate the effectiveness of martingale difference correlation based screening procedures in comparison with the correlation-based and distance correlation based counterparts.', 'In Chapter 2, we propose a general method for constructing confidence intervals and statistical tests for single or low-dimensional components of a large parameter vector in a high-dimensional linear model, where the dimension of the regression parameters may grow to infinity with the sample size. Our method is based on a smoothed penalized least square (PLS) estimator, which is obtained by smoothing the cusp of the penalty functions of conventional methods like the Lasso. It yields a nonsparse estimator which has a Gaussian limiting distribution and can be utilized to construct confidence intervals (regions). We give conditions under which the bootstrap provides asymptotic refinements to the coverage probabilities of confidence intervals. This procedure can be easily adjusted for any PLS estimator that has a cusp in the penalty term, such as SCAD, Adaptive Lasso, and minimax concave. Results from simulation studies show marked improvement in coverage accuracy for the confidence intervals based on our method over others.']",1/1/2018,Statistics,Dissertation,None,no embargo,\etdadmin_upload_586977\Zhang_northwestern_0163D_14165.pdf,,,,,,,
40,\etdadmin_upload_586980,Essays on Competition and Innovation,"(None, 'Linyi', None, 'Zhang')","Business Economics, Industry Studies: Manufacturing, Innovation, International Economics, Market Structure, Firm Strategy, and Market Performance",In Copyright,"['This dissertation contains three chapters that all exploit macroeconomic shocks to study how firms and individuals strategically respond to increased market competition, particularly how their innovation incentives are affected. In Chapter 1, I examine the impact of competition from Chinese imports on innovation by U.S. public manufacturing firms. Exploiting cross-industry and over-time trade variations from 1991 to 2004, I find that when the influx of Chinese imports began, firms of different sizes responded differently. Large firms tended to increase their innovation, and shift into new technical fields and market segments where they faced less competition. This increase in innovation reflected, in part, a labor market adjustment: inventors moved from small firms to large firms. In contrast, small firms tended to reduce their R&D expenditures and suffered from a higher probability of exit.', ""In Chapter 2, I further analyze the labor market adjustment among inventors (across firms and geographic regions). I find that surging Chinese import penetration in a commuting zone spurred higher inventor mobility among the less productive, the more specialized, and the old. They were also more likely to patent in new technology classes when their field of specialization was exposed to higher Chinese import penetration. Such results are consistent with a story where these inventors were forced out of jobs either because their employers exited the market, or because their technical know-how didn't fit employers' strategic re-pivoting of their businesses. After moving to new workplaces, they adjusted their technical fields to meet firms' changing demand for high skilled labor. Such reallocation of inventors seem to be efficient because commuting zones increased their overall number of patents in response to higher Chinese import penetration."", ""In Chapter 3, I look at the flip of the coin and examine Chinese exporters' innovation response to China's exchange rate reform in 2005. The reform ended a decade-long peg of RMB to the U.S. dollar, appreciated RMB by 2.1% instantaneously, and started a managed floating exchange rate regime that set RMB on a long-term appreciation trajectory. This put Chinese exporters' under competitive pressure, and they may respond through innovation to survive. Based on a difference-in-difference approach, I find that Chinese exporters more exposed to the reform increased their number of patents relative to pre-reform level. Moreover, such an increase mainly occurred for utility patents and design patents while no change was found for invention patents. This seems to suggest that instead of producing highly innovative inventions, Chinese exporters mainly responded by improving their existing product lines with new features and design.""]",1/1/2018,Managerial Economics and Strategy,Dissertation,None,no embargo,\etdadmin_upload_586980\Zhang_northwestern_0163D_14166.pdf,,,,,,,
41,\etdadmin_upload_587009,Computational and Experimental Characterization of the Behaviors of Anisotropic Quasi-Brittle Materials: Shale and Textile Composites,"(None, 'Weixin', None, 'Li')","Discrete Model, Experimental Characterization, Fracture Mechanics, Quasibrittle Material, Shale, Textile Composite",In Copyright,"['Anisotropic quasi-brittle materials represent a large group of geological and structural materials commonly seen in various engineering applications. A thorough study of their behaviors, especially anisotropic elastic response, damage, and fracturing behaviors, are essential for better understanding, optimizing, and utilizing their engineering performance. Two representative anisotropic quasi-brittle materials, shale rocks and textile composites, were investigated in this work through both numerical and experimental methods. They are considered as transversely isotropic and orthotropic media respectively, which represent the two most common types of anisotropy among engineering materials. ', ""For shale rocks, numerical methods were adopted to investigate their anisotropic elastic behaviors, inelastic responses, and directional-dependent failure modes under various loading conditions. The extension of microplane formulation to transverse isotropy was explored, and its applicability to modeling shale anisotropic elastic behaviors was investigated. Furthermore, a multiscale framework based on a lattice discrete particle method and a mathematical homogenization scheme was adopted to simulate the heterogeneous deformation of the random granular internal structure of shale and the macroscopic mechanical responses. Material anisotropy was introduced at the level of constitutive laws according to an approximated geometric description of the material's internal structure. In addition, the numerical method was augmented by a dual lattice system at the grain level to simulate fluid flow along pores and cracks. The newly developed multiphysics discrete model was used for computational analysis of the shale fracture permeability behavior. Lastly, experimental characterization of the fracture properties of Marcellus shale was performed through size effect tests, and measures of anisotropic fracture energy/toughness, effective fracture process zone length as well as brittleness of the investigated specimens were obtained. "", 'For textile composites, a constitutive model based on the spectral stiffness microplane formulation was developed to simulate the orthotropic stiffness, pre-peak nonlinearity, and post-peak softening and fracturing behavior of composites with three dimensional (3D) fiber reinforcement. Extensive experimental characterization of a 3D carbon-epoxy woven composite was also performed to provide a comprehensive database of the orthotropic mechanical properties of the investigated material. The properties were measured in three principal directions of the material, and various damage mechanisms and failure modes were identified. Lastly, the results of fracture size effect tests revealed remarkable size effect of the investigated 3D textile composite and demonstrated improved ductility and damage tolerance featured by the 3D fiber reinforcement.']",1/1/2018,Theoretical and Applied Mechanics,Dissertation,"code: 1, date: 06/22/2019",Private,\etdadmin_upload_587009\Li_northwestern_0163D_14167.pdf,,,,,,,
42,\etdadmin_upload_587026,Models and Approaches to Multiobjective Arc Tour Problems with an Application to Marathon Course Design,"(None, 'Mehmet', None, 'Basdere')","disjunctive programming, integer programming, linear programming, multiobjective optimization, routing",In Copyright,"[""Marathons are long distance running events with many participants, often organized in heavily populated cities. A key component in marathon planning operations is the design of the marathon course to be followed during the race. In addition to the technical requirements regarding length and incline change, marathon courses must satisfy two additional requirements: (i) courses must visit certain neighborhoods in the city and (ii) they must be designed in such a way that access to the facilities that provide critical public service (e.g. hospitals) is not blocked by the tour. Motivated by marathon course design, this study develops models and approaches to solve multiobjective arc tour problems. The underlying tour finding problem, the Lock-Free Arc Tour Problem (LFATP), visits a predetermined set of edges while ensuring that the resulting tour does not block access to certain critical vertices. Apart from these restrictions, marathon course design involves a range of unique objective functions which we are classified under three categories: (i) arc-additive, (ii) sequence-dependent and (iii) time-dependent objective functions. In arc-additive functions, the objective contribution of each arc has a constant coefficient. In sequence-dependent ones, each arc's contribution to the objective depends on the other arcs used in the route and in time-dependent ones, each arc's contribution depends on when that arc is visited."", 'Initial efforts focus on the LFATP with arc-additive objectives as these objectives are relatively less complex compared to sequence- and time-dependent ones. The underlying problem is formulated as a mixed integer linear program. Structurally, the LFATP suffers from excessive subtour formation, especially when the corresponding objective aims to minimize proximity to certain locations in the network, causing the standard branch-and-cut approach to perform poorly even with valid inequalities derived from locking properties of the LFATP. For this reason, we introduce path-based reformulations arising from a provably stronger disjunctive program, where disjunctions are obtained by fixing the visit orders in which must-visit edges are visited. In computational tests, the reformulations are shown to yield up to 100 times improvement in solution times. Additional tests demonstrate the benefits of using lock elimination inequalities and the value of reformulations for more general tour finding problems with visit requirements and length restrictions. Then, we extend the arc-additive model and its reformulations to handle objectives involving sequence- and time-dependent properties.', ""As marathon course design involves various objectives related to health, safety, performance and experience, LFATP needs to be solved in a multiobjective environment to identify the best course design for race organizers. For this reason, we introduce an Interactive Weight Region-Based approach (IWRA) that reaches a most preferred solution of the decision maker (DM) in multiobjective optimization. IWRA is an iterative approach which iterates between solution generation and comparison phases: At each iteration, IWRA presents a new solution to the DM by using weight diversification, obtained by solving an integer program. The DM's preference information is used to refine the unexplored weight region. We provide finitely converging algorithms solving the weighted sum problem for multiobjective linear programs and multiobjective integer programs. Different from existing approaches, IWRA separates weight generation and solution generation efforts, and provides a systematic weight generation scheme which is capable of exploring the entire weight region. We empirically demonstrate the effectiveness of IWRA under various settings and assumptions through comparisons with related methods from the literature which also ensure identification of optimal decisions. IWRA is also extended to the weighted Tchebycheff problem setting to handle unsupported nondominated solutions."", 'Finally, both tour finding and multiobjective projects are combined to generate a series of course designs for the Bank of America Chicago Marathon which serves the race organizers as a catalog of options. At this stage, we select the underlying LFATP formulation based on the dominant structure of the aggregated objective. The experiments show that significant improvements can be obtained by making relatively small changes to the existing course.']",1/1/2018,Industrial Engineering and Management Sciences,Dissertation,None,no embargo,\etdadmin_upload_587026\Basdere_northwestern_0163D_14168.pdf,,,,,,,
43,\etdadmin_upload_587072,Lemon Dropping: The IO of Discrimination in Primary Care,"(None, 'David', None, 'Benson')","Economics of Discrimination, Economics of Healthcare, Industrial Organization",In Copyright,"['I describe a novel  panel dataset on the U.S. primary care physician population, as well as the institutions and measurement strategies used  to  study physician behavior in the marketplace.  I  document several facts on  primary care markets and supplier  location decisions,  the types of patients physicians accept, the scale of their practices, their productivity and practice patterns, and their financial incentives. There is heterogeneity in financial incentives across consumers due to insurance coverage, and there is geographic variation in practice costs and  in payment regulations from Medicare and Medicaid. Primary care physicians are selective in the types of patients they accept: Medicare patients have greater access to primary care than low income  Medicaid Dual Eligible patients. Physicians are also less likely to accept  Medicare and Medicaid patients than those with private insurance, deriving most of their revenue from the private sector. The demographics and health of accepted patients vary across physicians. Geographic and within-location variation in physician practice patterns  evidence underlying dispersion in supplier productivity. Motivated by these data,  I adapt the economic theory of discrimination to explain rejection of willing customers, allowing for heterogeneity in  prices and cost across consumers and for dispersion in firm productivity. I analyze the empirical relationships between  scale,  productivity, and patient acceptance in the primary care population, and find that physicians who produce less  are more likely to discriminate. However,  conditional on some acceptance of both patient types, the relative proportion of low income patients is decreasing with scale.  The data and discrimination theory together imply Dual Eligible patients have lower marginal cost compared to Medicare patients, but have higher fixed or sunk  costs, and that this cost wedge is closing as physician productivity grows. Finally, observing geographic variation in output price regulations and input costs, I exploit physician migration to identify the effects of financial incentives on patient acceptance, scale, and practice patterns.  I find that physicians are more likely to accept more profitable patients.  However, omnibus  environmental factors subsuming  prices explain less than half of the change in physician behavior upon  migration.  I use a structural supply model to estimate the  idiosyncratic financial incentives affecting production choices and acceptance of Medicare and Medicaid Dual Eligible patients. As expected, I find that Dual Eligibles have lower marginal cost of primary care compared to Medicare patients. Estimated  marginal cost is dispersed across suppliers within a given market. The regression results and structural cost estimates together imply that equalizing  prices for Dual Eligible and Medicare patients would erase the primary care access gap for low income elders. Allowing price competition would lower prices compared to the regulated status quo, but reduce access for Medicare patients due to lemon dropping.']",1/1/2018,Economics,Dissertation,None,no embargo,\etdadmin_upload_587072\Benson_northwestern_0163D_14169.pdf,,,,,,,
