,Title,"Creator (suffix, fname, middle, surname)",Keyword,Rights,Abstract,Date Created,Subject,Resource Type,Restrictions,Embargo Dates,PDF Files
21,Biological and Environmental Implications and Applications of Two-Dimensional Layered Nanomaterials,"(None, 'Linda', 'M', 'Guiney')","3D printing, biomaterials, environmental fate, toxicity, two-dimensional nanomaterials",In Copyright,"['To accelerate the implementation of technologies enabled by two-dimensional (2D) nanomaterials, the human health and environmental implications of these materials need to be addressed. Fundamental studies which elucidate the mechanisms of toxicity and environmental fate will allow for the safer design of these materials and promote their widespread use. This thesis presents a multidisciplinary approach to assess the potential hazards of 2D nanomaterials by establishing structure-activity relationships between the properties of the 2D nanomaterials to biological outcomes. In particular, interactions with the cell or bacterial membrane, cellular uptake, and intracellular localization and processing are investigated using a library of graphene oxide (GO) nanomaterials. By systematically varying GO surface oxidation and lateral size, we successfully deduce the toxicological mechanisms in mammalian and bacterial systems.', 'Next, the environmental fate of GO nanomaterials is studied by measuring the influence of pH, ionic strength, ion valence, and presence of natural organic matter (NOM) on the aggregation and stability of GO nanomaterials in aquatic environments. A similar library of GO nanomaterials is used to determine the influence of surface oxidation on both the aggregation as well as the chemical degradation under direct sunlight. Based on the observed interactions of GO with NOM, the antifouling properties of GO are investigated by observing the deposition kinetics of bacteria and NOM. Based on our findings with GO, we further expand our studies to other 2D materials, such as molybdenum disulfide (MoS2). The attachment efficiency of foulants on both 2D-nanomaterial functionalized surfaces is significantly lower than that of a control polymer surface, encouraging the potential use of GO and MoS2 for antifouling water filtration membrane technologies.', 'The environmental instability of black phosphorus (BP), a 2D layered nanomaterial which decomposes in the presence of oxygen and water, is studied in detail to encourage the development biodegradable constructs for a wide range of biomedical applications. Aqueous dispersions of few-layer BP nanosheets are prepared and the chemical and dispersion stability are studied by controlling the type of surfactants and overall flake size and thickness. Furthermore, the stability of the BP dispersions is investigated in biologically relevant media; environmental factors such as dissolved oxygen, temperature, and ionic strength are considered for their role in the stability of the BP nanosheets. These results will enable improved efficacy and lifetime of potential BP constructs for biomedical applications, as well as provide a foundation for investigating the biological impact of these nanomaterials. ', 'Finally, we demonstrate the incorporation of a 2D layered material into a biocompatible polymer composite for potential applications in bioelectronics. Hexagonal boron nitride (hBN)—a thermally conductive yet electrically insulting two-dimensional layered material—is dispersed at high concentrations in the presence of a biocompatible polymer, which can be 3D printed at room temperature through an extrusion process to form complex architectures with features as small as 100 μm. These robust, free-standing constructs can have high solids content while maintaining their mechanical intergrity when flexed and stretched. Furthermore, the presence of hBN within the matrix results in enhanced thermal conductivity. The high cytocompatibility of these constructs makes them potentially suitable for use in the field of printed bioelectronics. Overall this work contibutes to a better understanding of the behavior and interactions of 2D nanomaterials at the nano-bio interface, allowing for the safe design and implementation of these materials into a wide range of biomedical applications.']",01/01/2018,Materials Science and Engineering,Dissertation,"code: 1, date: 06/22/2020",Private,Guiney_northwestern_0163D_14096.pdf
22,Being Generative: The Motivations of the Generative Individual and their Associations with Well-Being in Midlife Adulthood,"(None, 'Jen', None, 'Guo')","Agency, Communion, Generativity, Life Story, Narrative, Well-being",In Copyright,"['There has long been an interest in the idea of generativity – the concern for and commitment towards promoting the well-being of future generations. In Western societies, generativity can be characterized through societal contributions and acts dedicated towards others. Since the early 1960s, when Erikson proposed generativity as the major developmental stage of midlife adulthood, evidence has accumulated showing many benefits for those characterized as being generative. Positive associations with high levels of generativity include strong motivational inclinations towards public service, better mental health measures, and self-reported psychological well-being. That is to say, highly generative people seem to be able to create positivity for those around them and for themselves. This has given rise to an interest in understanding the motivations behind the generative individual’s commitment towards generating positive change, and how, in spite of the many possible challenges associated with those commitments, generative people are able to maintain high levels of well-being.', 'To understand the generative individual, personality researchers have examined the qualities which make up ‘hallmark’ characteristics of generativity. In addition to assessing traits, a particular stream of personality research has been focused on analyzing the content within the autobiographical life narratives of generative people. By examining these autobiographical accounts, a person’s narrative identity – their personality relayed through the subjective reconstruction of the past, acknowledgement of the present, and projections into the future – may be understood. As individuals reside within the context of a sociocultural world, each person’s subjective interpretations of lived experiences can be especially revealing of how they make meaning from significant events. For instance, recent research suggests that highly generative midlife adults tend to construe their lives following a prototypical narrative called the redemptive self, wherein a gifted protagonist with steadfast moral principles overcomes suffering to make a positive contribution within society. However, what has not been examined in full are the motivational qualities which emerge within the narratives of highly generative people. ', 'Two central motivational themes have been argued to be the basic modes by which individuals relate to their social worlds and seek fulfillment in human living – agency and communion. The first theme, agency, refers to the motivational striving towards self-mastery, status, achievement, and empowerment. Somewhat orthogonal to this first theme, then, is the second motivational theme of communion. Communion encompasses the psychosocial concerns regarding affiliation, shared intimacy, relational support, and interpersonal dialogue. The use of agentic imagery in life narratives has been positively associated with clinical improvements to psychological well-being and health, whereas communion imagery has been linked to positive relationships with others and a deeper sense of purpose in life. As fundamental motivational themes, narratives rich in agency and communion may respectively provide for the individual an internalized private source of psychological support, as well as a sense of social connection to and integration within public domains. Yet agency and communion narratives’ relationship to generativity and how each of these measures play into longitudinal predictions of well-being over midlife adulthood remains unclear.', 'To address these questions, this project reports on data collected between 2008-2017 as part of a 9-year longitudinal study of 163 late-midlife adults in Chicago. At baseline visit, participants were given a structured life narrative interview, with agency and communion coded at 3 life story scenes: high point, low point, and turning point. Additionally, participants were asked to fill out an extensive, annual, self-report questionnaire including assessments for demographic information, generativity, psychological well-being, social well-being, and physical quality of life. A summary score for successful midlife adult aging was constructed using the average of their standardized scores for the latter four variables. Using growth curve analyses, changes to psychological, social, and physical well-being were modeled using self-reported generativity, coded thematic agency, and coded thematic communion as predictors. ', 'Observed results affirmed a number of this project’s seven main sets of hypotheses. First, in examining the construct of generativity, this project had partial evidence suggesting that the structure of self-reported generativity scores fell into latent dimensions of promoting the well-being of others and actively influencing others’ well-being (i.e., “getting along and getting ahead”). Second, beyond its concurrent positive relationship to well-being, self-reported generativity was associated with longitudinal increases in well-being over the course of mid-late life adulthood. Third, self-reported generativity was positively associated with the usage of thematic agency (but not communion) in individuals’ life stories. Fourth, thematic agency was positively correlated with psychological well-being, while thematic communion was not significantly correlated with social well-being. Fifth, narratives assessed to be high in thematic agency (but not communion) was associated with successful midlife aging, summarized using those measures of generativity, psychological well-being, social well-being, and physical quality of life. Sixth, narratives rich in thematic agency were not found to be associated with longitudinal increases in psychological well-being. Lastly, narratives rich in thematic communion were not confirmed to be associated with increases in social well-being over the period of mid-late life adulthood.']",01/01/2018,Psychology,Dissertation,None,no embargo,Guo_northwestern_0163D_14068.pdf
23,A Qualitative Exploration of Parental Mediation of Tweens’ Technology Use and Tweens’ Experiences with Imagined Audiences in Various Online Contexts,"(None, 'Sabrina', 'Lillian', 'Hallongren')","imagined audience, parental mediation, parenting, social media, youth",In Copyright,"['Children ages 11 and 12 are engaging in increasingly more varied and independent technology use, with many acquiring their own smartphones and joining social media sites before they turn 13 (Influence Central, 2016; Lauricella et al., 2016). How do parents navigate this transition and mediate their tween’s technology as they progress toward greater autonomy and independence? How do their mediation strategies evolve during this time? Additionally, although pre-adolescent children are engaging in more social opportunities with technology, they are limited in their ability to consider the perspectives of others and may be engaging in social interactions online with limited capacities for fully understanding how their content may be received by others (e.g., Piaget, 1952; Selman, 1980).  How aware are they of others online? Who (if anyone) do they imagine when they share content in social media or engage in multiplayer games? Based on in-depth interviews with 40 parents and their 11- to 12-year-olds, this dissertation employed a grounded theory approach and examined various mediation strategies used among families of tweens as parents and tweens negotiate their expanding use of technology and digital media. Additionally, this study explored tweens’ experiences with their imagined audiences across various online contexts and examined the ways in which parents shaped such experiences.', 'While findings from this study supported previous work identifying restrictive and active mediation strategies, co-use, participatory learning, and deference, results also revealed more diverse, refined practices (or sub-categories) within these categories and the evolution of such practices as parents aimed to support the development of their tweens’ autonomy. In the service of promoting openness and trust between themselves and their tweens, parents began relying on more covert and reactive practices, rather than overt or proactive practices. Parents sought to monitor their child’s technology use more unobtrusively and engaged in reactive strategies, addressing problems and issues they were not able to anticipate. As parents encountered new challenges and adjusted their practices to accommodate their tweens’ growing independence, they felt overwhelmed and unsure of their mediation practices.  ', 'The exploratory nature of this study also allowed for the emergence of themes that have received little attention in parental mediation thus far. While research examining parental mediation practices has typically focused on the interplay of parental characteristics on such practices, findings from this study revealed that numerous child characteristics influence parents’ concerns and beliefs about the impact media has on their children, the ways in which children engage technology (such as the content they consume or share or the amount of time they seek to spend with technology), and the practices parents engage in to moderate such use. Influential child characteristics emerging from the data included child gender, perceived maturity level, perceived effects on child development or behavior, executive function abilities, sociability, and agreeableness or obedience. Rather than a unidirectional process in which parents socialize their children’s media experiences in a top-down approach, such findings demonstrate the transactional, bi-directional nature of parental mediation practices.', 'Finally, this dissertation explored tweens’ interactions with others across video sharing sites, multiplayer games, and social media. Tween decisions regarding privacy settings and whom they accepted as followers varied across contexts and account profiles, with such decisions made in the service of their goals for such sites. While most tweens maintained private accounts, not all tweens or parents were aware of the actual privacy settings (particularly parents of tweens with public accounts). Parents expected their children to know all of the individuals they accepted as friends online, but the concept of “knowing” someone differed among tweens and parents, with tweens commonly accepting requests from people they had not met as long as they shared one or more friends in common. When evaluating friend requests or making judgments about other individuals in online spaces, tweens heavily relied on concrete, perceptual features (such as images, profile names, spelling abilities, and the absence or presence of creepy or inappropriate content) to inform their decisions. Furthermore, age-related trends emerged with 12-year-olds being more likely than 11-year-olds to consider their imagined audiences, to reflect on their posts prior to sharing, and to acknowledge that information shared or available in the profiles of others may not necessarily be accurate or honest.']",01/01/2018,"Media, Technology and Society",Dissertation,"code: 1, date: 06/22/2020",Private,Hallongren_northwestern_0163D_14115.pdf
24,X-Ray Scattering Studies of Novel Photoactive Materials,"(None, 'Boris', None, 'Harutyunyan')",X-ray Physics,In Copyright,"['Morphology and crystal structure of photoactive materials are key factors in determining the efficiency of solar devices. We present X-ray scattering studies of four types of photoactive systems with novel photoactive elements: perylene monoimide based nanoribbons for solar-to-fuel conversion devices, tetrathienoacene based organic dyes for dye sensitized solar cells, layered lead perovskites for solar cells and fluorinated small molecule donor for ternary bulk heterojunction solar cells. ', 'We perform wide angle X-ray scattering measurements of perylene monoimide based nanoribbons, both in solution and deposited dry film, and develop formalism for interpreting obtained X-ray scattering patterns. This generally applicable method reproduces the measured diffraction patterns, including the asymmetric line-shapes for the Bragg reflections and yields the molecular packing arrangement within a 2D crystal structure and how it alters upon chemical modification of the constituting molecules. X-ray study of phase transition of n-propyl perylene monoimide nanostructure is discussed as well.   ', 'We used X-ray reflectivity technique to study the monolayer morphology of tetrathienoacene based dyes deposited on titanium dioxide surface. The latter serves as an electron channeling electrode in dye sensitized solar cells. Through atomic layer deposition a model surface of titanium oxide is fabricated, and organic dye monolayer deposited on it from organic solution. Analysis of X-ray reflectivity measurements expose the transformations monolayer films undergo upon alterations of backbone structure and modifications of hydrophobic alkyl chains. Alkyl chains are designed to prevent recombination and improve solubility. The results for molecular packing and molecular footprint correlate well with the measured efficiency and other characteristics of solar cells built with these dyes.', 'Grazing incidence wide angle X-ray scattering was further used to determine orientation of Ruddlesden-Popper perovskite films fabricated with a new deposition method. The analysis indexed all measured spots on the diffraction pattern which indicated high degree of crystallinity for these films and, crucially, perpendicular alignment of insulator organic spacer with respect to the electrode surface. 12.52% efficiency is achieved for this system with exceptionally high environmental stability, a major hurdle in utilizing perovskites in solar cells.', 'The same technique is applied in investigation of crystallinity of a blend of fluorinated and non-fluorinated small molecule donor compounds for bulk heterojunction solar cells. These molecules consist of benzodithiophene unit with two diketopyrrolopyrrole moieties. We show that 1:9 blend possesses highest degree of crystallinity. We attributed this effect to formation of C–H···F hydrogen bonding, which improves intermolecular connectivity and enhances photoconductivity. The 1:9 ratio also exhibits the highest efficiency in solar cells as compared to blends with other ratios of constituents.']",01/01/2018,Physics and Astronomy,Dissertation,None,no embargo,Harutyunyan_northwestern_0163D_14077.pdf
25,Radical Remakes: Confronting Russia’s Literary Heritage on the Post-Soviet Russian Stage,"(None, 'Jessica', None, 'Hinds-Bond')","adaptation, contemporary Russian theatre, New Russian Drama, remakes, Russian literary canon",In Copyright,"['This dissertation examines dramatic and theatrical remakes of the Russian literary canon in post-Soviet and contemporary Russian playwriting. Remakes are provocative, postmodern engagements with classic texts. They not only rewrite the canonical texts but also problematize their extratextual legacy as cultural objects with accumulated meanings, interpretations, and preexisting histories of adaptation.', 'I conduct careful and contextualized analysis of eight play texts (dating from 1994 to 2013) and their most significant theatrical productions to understand how young Russians empower themselves through playwriting, rewrite their literary canon, and critique and contend with aspects of contemporary Russian life, from rigidifying gender norms to histories of trauma and war. My examination moves forward chronologically as it moves outward from plays that take on single source texts to those that take on the canon as a whole. Chapters 1 and 2 examine remakes of the novels Oblomov and Anna Karenina, respectively. Chapter 3 considers remakes of two novellas from a single author, Nikolai Gogol. Chapter 4, finally, investigates two plays that remake famous nineteenth-century plays, works that were already written for the stage. While the early chapters focus on how individual protagonists have been reimagined by contemporary playwrights, my later chapters turn to the question of the utility of and inherent meaning in the canon at large. ', 'I argue that these playwrights deconstruct canonical texts to lay claim to Russia’s literary heritage while also asserting the right to make meaning in a post-Soviet space. Moreover, in bringing these works to the stage, the playwrights lay the canonical texts and their own remakes bare for an ongoing process of meaning making, one that takes place through the encounter with the audience. If the Russian literary canon is inherently closed, its prescribed interpretations a product of the long Soviet years in which literature was coopted for its socializing and Sovietizing purposes, then the stage, in which meaning is never fixed, offers the canon its best possible antidote: in this site of living confrontation, these contemporary remakes wrench the canonical texts and the canon itself wide open.']",01/01/2018,Theatre and Drama,Dissertation,None,no embargo,HindsBond_northwestern_0163D_14103.pdf
26,"Traffic Systems Under External Interventions: Characterization, Modeling, and Active Management","(None, 'Zihan', None, 'Hong')","Active Transportation and Demand Management, Data Mining, Network Modeling, Performance Evaluation, Smart Mobility, Weather-Responsive Traffic Management",In Copyright,"['Active traffic management systems aim to relieve recurring and non-recurring congestion by using estimated and predicted traffic conditions to guide trip makers before and after entering the network as well as to design control strategies to improve system performance. With external disruptions and interventions (e.g., weather, special events, and incidents), from either nature or human beings, the dynamic traffic system has higher stochastic characteristics, a more complicated transition process, and unexpected hysteresis patterns. This study illustrates data-driven approaches to defining and characterizing traffic performance and conditions, addresses algorithmic problems associated with modeling and designing active management strategies, and evaluates and regulates the systematic parameters and sensitivity for predictive traffic management systems.', 'Operational conditions are derived from historical traffic system data to cover a wide range of traffic situations. This characterization and modeling procedure enables the design of strategies to achieve transformative mobility, safety, and environmental benefits in surface transportation systems management, as it accounts for any specific disruptions or interventions that may impact the traffic system. With more accurately defined and clustered operational conditions, traffic management strategies designed to address these conditions are generally expected to be more reliable and robust than those based on aggregated operational conditions.', 'To characterize the traffic conditions and system performance under external interventions, this study examines (1) traffic flow relationships, (2) probability of breakdown and recovery events, and (3) traffic speed profiles and the hysteresis phenomenon. To define representative traffic conditions given historical and probabilistic weather and incident events, this study illustrates the traffic network modeling at the mesoscopic level. It covers the weather affected traffic demand at the origin-destination (zone to zone) level, the traffic incident density in the entire area, and the strategies, which are designed for weather-related traffic conditions and demand management. The active traffic and demand strategies are designed correspondingly to the characterized and extracted conditions and features. The methods are implemented and evaluated in a traffic estimation and prediction system (TrEPS) on real-world networks.', 'To provide more active management strategies, a novel demand management strategy based on the concept of shared mobility is developed by involving user engagement and an available learning database. The ride-sharing solution is proposed specifically for commuters, rooted in the analysis of spatio-temporal patterns manifested through individual trajectories. A case study within the Chicago network is conducted to demonstrate the proposed framework’s ability to support better decision-making for carpool commuters. The results indicate that with ride-matching recommendations using shared vehicle trajectory data, carpool programs for commuters contribute to a less congested traffic state and environment-friendly travel patterns.', 'The study provides an analytics framework and comprehensive procedures to explore the active traffic system and design traffic management strategies. The contributions of this study include (1) introducing the concept, framework, and methodology of performance-driven traffic strategy design and evaluation, (2) building a valuable library of traffic operational conditions to apply to locations where no local data may be available, (3) proposing data-mining algorithms for the vehicle trajectory data to characterize performance and design strategies, and (4) providing a real-world case study for external intervention affected traffic conditions.']",01/01/2017,Civil and Environmental Engineering,Dissertation,None,no embargo,Hong_northwestern_0163D_14062.pdf
27,Playing Indian on Stage 1829-1924,"(None, 'Bethany', None, 'Hughes')","Indian, Law, Native American, Performance, Representation",In Copyright,"['This dissertation explores performance as a mechanism of racialization and politicization of Native Americans in the United States. I analyze performances of Indians on theatrical stages to define how an embodied repertoire of visual, aural, and kinetic markers, what I call the Stage Indian, became codified and circulated within popular theatrical performance. I discuss Edwin Forrest’s 1829 performance of the title role in Metamora; or, The Last of the Wampanoag to show how his claims to authenticity and his depiction of Native American identity worked to codify an Indian character in American theatre.  Buffalo Bill’s Wild West performance in 1886-1887 of The Drama of Civilization develops the Stage Indian further by modifying it based on the Native American performers it employed in the Indian roles and the mythic narrative of American progress it tells. The career of Will Rogers illustrates the persistence and power of the Stage Indian by showing an opposite example, a Native American who, though continually claiming Cherokee identity, was repeatedly and insistently read as white. I further explore the construction of the Indian within the United States by analyzing the creation and implementation of two landmark federal Indian laws. The 1830 Indian Removal Act and a resultant treaty, the Treaty of Dancing Rabbit Creek, demonstrate the narrow political and racial criteria the U.S. government expected from Indians as well as how Native American self-conception challenged those expectations. The 1887 General Allotment Act and records of allotment registration show how race and politics are twin foundations of Indian identity in the United States. Through my analyses of aesthetic and legal performances of Indianness I contribute to conversations of racialized performance in the United States, Native American identity, and the performativity of the law.']",01/01/2018,Theatre and Drama,Dissertation,"code: 1, date: 06/22/2020",Private,Hughes_northwestern_0163D_14113.pdf
28,Enactive Spectatorship in Contemporary Productions of Shakespeare's Plays,"(None, 'E. B.', None, 'Hunter')",Theater,In Copyright,"[""People want to be part of well-known, culturally significant stories, but not necessarily as actors. An important but overlooked dimension of spectatorship is participating meaningfully in a performed canonical story as an audience member, aware of one's position as such and also performing as the audience. Existing theory does not explain productions that foreground the relationship between participation and a purported authenticity to a canonical work. To date, meaningful participation has been measured by the audience's ability to affect a given story's outcome. But an audience who could change the narrative of a staged canonical text would disrupt its authenticity. Macbeth is not Shakespeare's Macbeth if the audience can save Banquo. So how can a production offer meaningful interactivity and still be authentic to a canonical work? "", 'This dissertation maps a new critical model the author calls ""enactive spectatorship."" By analyzing four contemporary Shakespearean productions that are interactive and assert authenticity, the author demonstrates how specific, consistent production choices devalue narrative impact as legitimate participation and replace this currency with the production\'s own reward system, thereby reconfiguring what ""counts"" as meaningful. The rewards that drive this system incentivize audience members to enact a recognizable role, the function of which is to endorse the production as authentic. This endorsement in turn serves to affirm the producers\' vision for the role of theatre in the twenty-first century. ', ""This dissertation contributes to theatre studies by exposing the hidden economies that drive scripted events and by identifying a phenomenon that has long been part of the human response to performed stories. The project outlines four discrete but mutually informing categories of production choice, from which practitioners will be able to derive a practical guide book. And as enactive spectatorship can be seen in scenarios from Shakespeare's plays to Disney theme parks, critical theorists who consider participation in a range of contexts may find this lens helpful for revealing the agendas that often underlie interactive productions and the reward systems producers use to promote audience compliance.""]",01/01/2018,Theatre and Drama,Dissertation,"code: 1, date: 06/22/2020",Private,Hunter_northwestern_0163D_14120.pdf
29,"Brokering Modernity: The World’s Fair, Mexico’s Eighth Cavalry Band, and the Borderlands of New Orleans Music, 1884 – 1910","(None, 'Valeria', 'Priscilla', 'Jiménez')","Borderlands, Cultural Brokers, Mexico, Music, New Orleans, World's Fair",In Copyright,"['In the wake of Hurricane Katrina’s dramatic demographic changes, scholars, journalists, and politicians have discussed Mexican migration to New Orleans as a new phenomenon and an unwelcome threat to the city’s social order, rich culture, and tourist economy. This dissertation challenges these ideas and demonstrates some of the myriad ways Mexican migrants have historically helped shape New Orleans’ distinct culture and its economy. In order to understand the precarious and ever-changing position of what it has meant to be Mexican in New Orleans, this dissertation asks how Mexican migrants went from being socially excluded and racialized as non-white “others” throughout most of the nineteenth-century to gaining a degree of acceptance as socially and culturally white at the century’s end despite the city’s intensifying race relations. ', 'To answer this question, this dissertation examines Mexico’s relationship to New Orleans in the nineteenth-century, the stakes involved for both Mexico and New Orleans at the 1884 World’s Fair, the popularity of Mexico’s Eighth Cavalry Band at the Fair, and the lives the band’s musicians created for themselves in the city after the Fair closed its doors. It reveals that Mexico and New Orleans were connected through the circulation of goods, people, and ideas throughout most of the nineteenth-century, and beginning with the 1884 World’s Fair, Mexican diplomats and white New Orleanian leaders intentionally used cultural exchange and a “rhetoric of friendship” to reconcile past tensions between them and foster friendly relations as a strategy for advancing their own economic interests in the pursuit of modernity. The unintended result was the development of New Orleans’ relatively small, but culturally significant community that helped shaped the city’s distinct music culture and inadvertently helped forge a rigid color line in a city that had once been known for its racial fluidity.', 'The project unfolds in a specific place and occurs at a particular historical moment – the 1884 World’s Fair in New Orleans – and argues that it fundamentally changed the relationship between New Orleans and Mexico and created new opportunities for Mexican musicians in the process. Both white New Orleanian and Mexican leaders utilized the fair as an international stage where they could showcase their ability to be leaders in modernity in a quickly expanding world economy. While the fair was ultimately a financial failure and has largely been overlooked by scholars, Mexico’s Eighth Cavalry Band became its most enduring cultural legacy. The band’s musicians had been sent as cultural brokers who used music to translate cultural differences and language barriers, giving a cultural sound to the fair’s rhetoric. They emphasized a modern Mexicanidad and Mexican music as culturally modern and therefore “white” but foreign and “exotic” enough to appeal to white New Orleanian desires to experience a different culture while still allowing them to maintain their distance from the music’s blackness since it was performed by representatives of the “sister republic.” The band set off a popular craze for Mexican music and bolstered an intense local curiosity about Mexico and its people. Through examining this untold story, this project demonstrates how New Orleans and Mexico were intimately linked through the circulation of capital, culture, and actors in the late nineteenth-century, exposing the Crescent City as an unexamined U.S. – Mexican borderland.']",01/01/2018,History,Dissertation,"code: 1, date: 06/22/2020",Private,JimxE9nez_northwestern_0163D_14071.pdf
30,Essays in Microeconometrics,"(None, 'Vishal', None, 'Kamat')",Economics,In Copyright,"['This dissertation consists of three chapters in microeconometrics. Each of the chapters corresponds to a paper that studies topics related to program and treatment effects, which has been the subject of research in econometric theory and empirical applied microeconomics.', ""The first chapter is a paper that studies identification of program effects in settings with latent choice sets. Here, by latent choice sets, I mean the unobserved heterogeneity that arises when the choice set from which the agent selects treatment is heterogeneous and unobserved by the researcher. The analysis is developed in the context of the Head Start Impact Study, a social experiment designed to evaluate preschools as part of Head Start, the largest early childhood education program in the United States. In this setting, resource constraints limit preschool slots to only a few eligible children through an assignment mechanism that is not observed in the data, which in turn introduces unobserved heterogeneity in the child's choice set of care settings. I propose a nonparametric model that explicitly accounts for latent choice sets in the care setting enrollment decision. In this model, I study various parameters that evaluate Head Start in terms of policies that mandate enrollment and also those that allow voluntary enrollment into Head Start. I show that the identified set for these parameters given the information provided by the study and by various institutional details of the setting can be constructed using a linear programming method. Applying the developed analysis, I find that a significant proportion of parents voluntarily enroll their children into Head Start if provided access and that Head Start is effective in terms of improving short-term test scores across multiple policy dimensions."", 'The second chapter is a paper that is joint work with Ivan A. Canay and is forthcoming in the \\emph{The Review of Economic Studies} - see \\cite{canay/kamat:17}. Here we study a question of statistical testing in the regression discontinuity design. In the regression discontinuity design, it is common practice to assess the credibility of the design by testing whether the means of baseline covariates do not change at the cutoff (or threshold) of the running variable. This practice is partly motivated by the \\emph{stronger} implication derived by \\cite{lee:08}, who showed that under certain conditions the distribution of baseline covariates in the RDD must be continuous at the cutoff. We propose a permutation test based on the so-called induced ordered statistics for the null hypothesis of continuity of the distribution of baseline covariates at the cutoff; and introduce a novel asymptotic framework to analyze its properties. The asymptotic framework is intended to approximate a \\emph{small} sample phenomenon: even though the total number $n$ of observations may be large, the number of \\emph{effective} observations local to the cutoff is often small. Thus, while traditional asymptotics in RDD require a growing number of observations local to the cutoff as $n\\to \\infty$, our framework keeps the number $q$ of observations local to the cutoff \\emph{fixed} as $n\\to \\infty$. The new test is easy to implement, asymptotically valid under weak conditions, exhibits finite sample validity under stronger conditions than those needed for its asymptotic validity, and has favorable power properties relative to tests based on means. In a simulation study, we find that the new test controls size remarkably well across designs. We then use our test to evaluate the plausibility of the design in \\cite{lee:08}, a well-known application of the RDD to study incumbency advantage.', 'The third chapter is a paper that is forthcoming in \\emph{Econometric Theory} - see \\cite{kamat:17}. Here I study the validity of nonparametric tests used in the regression discontinuity design. The null hypothesis of interest is that the average treatment effect at the threshold in the so-called sharp design equals a pre-specified value. I first show that, under assumptions used in the majority of the literature, for \\emph{any} test the power against any alternative is bounded above by its size. This result implies that, under these assumptions, any test with nontrivial power will exhibit size distortions. I next provide a sufficient strengthening of the standard assumptions under which I show that a version of a test suggested in \\cite{CCT14} can control limiting size.']",01/01/2018,Economics,Dissertation,None,no embargo,Kamat_northwestern_0163D_14123.pdf
31,Desmosomal Regulation of Gap Junction Dynamics and Cellular Contractility via Small GTPases: Implications for Cardiocutaneous Disease,"(None, 'Chen Yuan', None, 'Kam')","Arrhythmogenic, Cardiocutaneous, Connexin, Desmoplakin, Desmosome, Rho",In Copyright,"['Desmoplakin (DP) is a component of desmosomes, critical adhesive complexes found in cardiac intercalated discs. DP is often mutated in arrhythmogenic cardiomyopathy (AC), an inherited disorder that is a frequent cause of sudden cardiac death. The disease progression of AC is characterized by cardiomyocyte cell death and replacement of the healthy myocardium by fibro-fatty deposits. Furthermore, AC patients display contractility and conduction defects that can eventually result in sudden cardiac death.', 'Gap junctions, comprised of connexin (Cx) molecules are specialized intercellular channels that are indispensable in the myocardium where they coordinate the propagation of electrical signals between cardiomyocytes. Here, we elucidate a mechanism by which DP regulates Cx43 expression levels. DP loss was found to cause robust activation of ERK1/2 MAPK. Analysis of Cx43 phospho-sites in DP-deficient cardiomyocytes revealed an increase in MAPK sites S279/282, previously shown to signal internalization and degradation of Cx43. RNA-sequencing revealed Ras-GTPases as candidates for DP-dependent activation of the ERK1/2 MAPK pathway. Using a novel reagent (RRSP) that cleaves Ras, we showed a restoration of Cx43 loss in DP-deficient cardiomyocytes. Our results reveal a novel mechanism for the regulation of Cx43 in cardiac disease caused by DP loss.', 'Loss of DP was also found to perturb the junctional localization and activation of RhoA GTPase signaling in cardiomyocytes. The small GTPase RhoA plays a fundamental role in regulating actomyosin contractility via its various downstream effectors. We identify that the Rho GEF Ect2, a functional regulator of RhoA activity, is a novel interacting partner of DP at cardiac cell junctions. We demonstrate that DP is required for the localization of Ect2 to cardiac cell junctions and that Ect2’s activation is dependent upon DP’s ability to scaffold the kinase PKCα at the cell membrane to specifically phosphorylate Ect2. Depletion of either DP or Ect2 leads to defects in actomyosin driven contractility of cardiomyocytes, providing a plausible mechanism for contractility defects observed in AC patients.', 'Finally, we investigated Plakophilin-2 (PKP2), a desmosome component that is critical for DP expression and localization in cardiac cells, and its role in promoting fibrotic signaling pathways in cardiac cells. Loss of PKP2 led to the activation of TGF-β (a known activator of fibrosis) as well as increases in transcript levels of various downstream pro fibrotic signaling components. This activation of TGF-β signaling by PKP2 was found to be a byproduct of DP loss as PKP2 depletion resulted in the destabilization and degradation of DP. Together our collective results indicate that DP is a crucial regulator of cardiomyocyte homeostasis and that its loss can lead to severe cardiac outcomes such as AC.']",01/01/2018,Driskill Graduate Training Program in Life Sciences,Dissertation,None,no embargo,Kam_northwestern_0163D_14092.pdf
32,New Neutrino Physics at Next-Generation Experiments,"(None, 'Kevin', 'James', 'Kelly')","Neutrinos, Particle Physics",In Copyright,"['This thesis focuses on the role of upcoming neutrino oscillation experiments for the search for beyond-the-Standard-Model physics in the neutrino sector. Specically, I focus on the Deep Underground Neutrino Experiment and Hyper-Kamiokande neutrino experiment, and the experimental sensitivity to non-standard neutrino interactions, sterile neutrinos, incorrect signals of CP-violation, differences between neutrino and antineutrino oscillation parameters, and the effect of changing matter density profiles along the neutrino propagation path. Additionally, I explore more concrete beyond-the-Standard-Model scenarios inspired by the existence of neutrino masses, including a scenario that explains the dark matter puzzle, and a Standard Model extension to include scalar fields that couple predominantly to neutrinos.']",01/01/2018,Physics and Astronomy,Dissertation,None,no embargo,Kelly_northwestern_0163D_14075.pdf
